tweet_id,favorite_count,retweet_count,source,retweeted_status,expanded_urls
698195409219559425,16036,5652,,Original tweet,https://t.co/GPaoH5qWEk
698178924120031232,2694,700,,Original tweet,https://t.co/BJbtCqGwZK
697995514407682048,1450,320,,Original tweet,https://t.co/yAASRDPJnQ
697990423684476929,3135,1221,,Original tweet,https://t.co/MVvbQW88Pv
697943111201378304,2284,643,,Original tweet,https://t.co/e8bj97CisO
697881462549430272,2884,1101,,Original tweet,https://t.co/pHktDjpFr8
697630435728322560,1661,519,,Original tweet,https://t.co/VmF35YvtqP
697616773278015490,2993,957,,Original tweet,https://t.co/Jxd5pR02Cn
697596423848730625,2875,1195,,Original tweet,https://t.co/5USjFjKI7Z
697575480820686848,1950,481,,Original tweet,https://t.co/PsqqotpBBQ
697516214579523584,1950,1051,,Original tweet,https://t.co/LHFfUyLBZT
697482927769255936,2316,635,,Original tweet,https://t.co/YKvt0J5MXr
697463031882764288,3270,1327,,Original tweet,https://t.co/HppvrYuamZ
697270446429966336,4506,1784,,Original tweet,https://t.co/7rS33sCKMS
697259378236399616,3148,946,,Original tweet,https://t.co/iAeQNueou8
697255105972801536,2931,1097,,Original tweet,https://t.co/Oe0XSGmfoP
697242256848379904,2420,640,,Original tweet,https://t.co/7GQ7BTxywN
696900204696625153,3026,976,,Original tweet,https://t.co/NKuON5Al8i
696894894812565505,2238,646,,Original tweet,https://t.co/RJvUjgGH5z
696886256886657024,4630,1698,,Original tweet,https://t.co/WqoZtX9jmJ
696877980375769088,2343,674,,Original tweet,https://t.co/XhR7PAgcwF
696754882863349760,1414,341,,Original tweet,https://t.co/l9k7TPP7Tp
696744641916489729,1974,886,,Original tweet,https://t.co/ghhbMAFPW8
696713835009417216,2262,615,,Original tweet,https://t.co/6J8Ibwy1X6
696518437233913856,3745,1636,,Original tweet,r
696490539101908992,1157,134,,Original tweet,e
696488710901260288,2397,969,,Original tweet,https://t.co/zKzq4nIY86
696405997980676096,3063,1097,,Original tweet,https://t.co/CIFLjiTFwZ
696100768806522880,1845,618,,Original tweet,https://t.co/7ODQWHwYDx
695816827381944320,2878,1087,,Original tweet,https://t.co/VsQdLxrv9h
695794761660297217,3028,734,,Original tweet,https://t.co/PccQ1CFEDd
695767669421768709,1774,700,,Original tweet,https://t.co/U0D1sbIDrG
695629776980148225,4355,1982,,Original tweet,https://t.co/NIvxgSQ9BS
695446424020918272,4226,1725,,Original tweet,https://t.co/f9qlKiv39T
695409464418041856,8279,3401,,Original tweet,https://t.co/lORINwFXIV
695314793360662529,3456,1362,,Original tweet,https://t.co/ioFy0cmK03
695095422348574720,2528,581,,Original tweet,https://t.co/2L8pI0Z2Ib
